DAWID GWÓŹDŹ;;MALE;PRO;0;;1;;2;TOP TOP TOP TOP TOP TOP TOP TOP TOP ZERO TOP TOP BONUS TOP BONUS BONUS ZERO ZERO ZERO ZERO ;3;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP TOP ZERO ZERO ZERO ZERO ;4;ZERO TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP ZERO ;5;;6;;7;;
RAFAŁ PORĘBSKI;CLIMBING TRIBE / PROROCK;MALE;VETERAN;0;TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS BONUS TOP ZERO ;1;;2;;3;;4;;5;;6;;7;;
KUBA SZCZERBA;KW LUBLINIEC;MALE;EASY;0;TOP TOP TOP TOP TOP TOP TOP TOP ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;1;;2;;3;;4;;5;;6;;7;;
PAWEŁ SIKORA;WADOWICE BROADPEAK;MALE;HARD;0;;1;;2;;3;ZERO ZERO ZERO ZERO ZERO TOP TOP ZERO TOP TOP TOP ZERO TOP BONUS BONUS ZERO ZERO ZERO ZERO ZERO ;4;;5;TOP ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS ZERO BONUS ;6;;7;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP ZERO TOP TOP TOP BONUS ZERO ZERO ZERO ZERO ;
GOSIA NOWAK;CSC ADVENTURE ACADEMY;FEMALE;EASY;0;;1;;2;TOP TOP TOP TOP BONUS BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;3;;4;;5;;6;;7;;
JĘDRZEJ KUŚNIERZ;MH;MALE;EASY;0;;1;;2;;3;;4;;5;TOP TOP TOP TOP TOP BONUS TOP TOP ZERO ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;6;;7;;
SZYMON NOWAKOWSKI;SALEWA BLOCK;MALE;HARD;0;TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP ZERO BONUS ZERO ZERO ZERO ;1;;2;ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP TOP TOP BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;3;;4;;5;;6;;7;;
KAJTEK KOPERWAS;;MALE;PRO;0;;1;;2;;3;;4;;5;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP ZERO TOP BONUS BONUS ZERO ;6;;7;;
GRZEGORZ MRÓZ;;MALE;HARD;0;;1;ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP BONUS TOP BONUS BONUS TOP ZERO ZERO ZERO ZERO ZERO ZERO ;2;ZERO ZERO ZERO ZERO ZERO TOP BONUS BONUS ZERO ZERO BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;3;ZERO ZERO ZERO ZERO ZERO TOP TOP TOP ZERO TOP TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;4;;5;;6;;7;ZERO ZERO ZERO ZERO ZERO TOP TOP ZERO TOP ZERO TOP ZERO BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;
PAWEŁ HERÓD;KS KORONA KRAKÓW;MALE;PRO;0;;1;;2;;3;;4;;5;TOP TOP TOP TOP TOP BONUS TOP TOP TOP TOP TOP ZERO TOP ZERO BONUS BONUS BONUS TOP ZERO ZERO ;6;;7;;
DAREK BOGUSŁOWICZ;Katowice;MALE;VETERAN;0;TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;1;TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS TOP BONUS TOP TOP ZERO ZERO ZERO ZERO ZERO ZERO ;2;TOP TOP TOP TOP TOP TOP ZERO ZERO ZERO ZERO BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;3;TOP TOP TOP TOP TOP TOP TOP TOP ZERO ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;4;TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;5;TOP TOP TOP TOP TOP BONUS TOP TOP TOP BONUS TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;6;TOP TOP TOP TOP TOP TOP BONUS BONUS BONUS TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;7;TOP TOP TOP TOP TOP TOP TOP ZERO TOP ZERO ZERO TOP ZERO ZERO BONUS ZERO ZERO ZERO ZERO ZERO ;
ARKADIUSZ PARKA;;MALE;EASY;0;TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;1;TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;2;TOP TOP TOP TOP BONUS BONUS ZERO ZERO ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;3;TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;4;TOP TOP TOP TOP TOP TOP TOP BONUS TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;5;;6;TOP TOP TOP TOP TOP BONUS ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;7;TOP TOP TOP TOP TOP TOP TOP TOP BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;
JACEK MÓL;WOMBAT TEAM;MALE;EASY;0;;1;;2;TOP TOP TOP TOP BONUS BONUS ZERO ZERO ZERO BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;3;TOP TOP TOP TOP TOP TOP TOP BONUS BONUS ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;4;TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;5;TOP TOP TOP TOP TOP BONUS TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;6;TOP TOP TOP TOP TOP TOP BONUS TOP ZERO BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;7;TOP TOP TOP TOP TOP TOP BONUS ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;
BARTOSZ JUSZCZYK;;MALE;EASY;0;TOP TOP TOP ZERO TOP TOP ZERO ZERO ZERO BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;1;;2;;3;;4;;5;;6;;7;;
KRZYSZTOF MODLISZEWSKI;KW KATOWICE;MALE;EASY;0;;1;;2;;3;TOP TOP TOP TOP TOP TOP TOP TOP ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;4;;5;;6;;7;;
ŁUKASZ GOCZOŁ;;MALE;EASY;0;;1;TOP TOP TOP TOP TOP TOP TOP BONUS TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;2;TOP TOP TOP TOP ZERO BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;3;TOP TOP TOP TOP ZERO ZERO ZERO TOP ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;4;;5;TOP TOP TOP BONUS TOP BONUS TOP BONUS TOP ZERO ZERO ZERO ZERO ZERO BONUS ZERO ZERO ZERO ZERO ZERO ;6;;7;;
KUBA PIERCHAŁA;CW CECHOWNIA;MALE;VETERAN;0;TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP ZERO ZERO TOP BONUS ZERO ZERO ZERO ZERO ZERO ;1;;2;TOP TOP TOP TOP TOP TOP TOP TOP TOP ZERO BONUS BONUS BONUS ZERO ZERO ZERO ZERO ZERO ZERO ZERO ;3;TOP TOP TOP TOP TOP TOP TOP TOP BONUS BONUS TOP ZERO BONUS BONUS BONUS ZERO ZERO ZERO ZERO ZERO ;4;;5;;6;;7;;
TOMASZ ANTONIK;;MALE;HARD;0;;1;;2;;3;;4;;5;ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP TOP TOP TOP BONUS TOP ZERO ZERO ZERO ZERO ZERO ;6;TOP TOP TOP TOP TOP TOP BONUS TOP TOP TOP BONUS BONUS ZERO TOP ZERO BONUS ZERO ZERO ZERO ZERO ;7;;
ADAM MACH;GRIMPI, MT IDEA, SKARPA BYTOM;MALE;PRO;0;;1;;2;;3;;4;;5;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP ;6;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP ;7;ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO ZERO TOP TOP TOP TOP TOP TOP TOP TOP TOP BONUS ;
